pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,131,trial1,brow,diff_bin1,0.13399248627861576,happy
pp401,adult,131,trial1,brow,diff_bin10,-0.6723441419887304,happy
pp401,adult,131,trial1,brow,diff_bin2,0.03430088563202792,happy
pp401,adult,131,trial1,brow,diff_bin3,-0.12614560047686835,happy
pp401,adult,131,trial1,brow,diff_bin4,-0.19859638618568337,happy
pp401,adult,131,trial1,brow,diff_bin5,0.21545974781382843,happy
pp401,adult,131,trial1,brow,diff_bin6,0.26904823621600465,happy
pp401,adult,131,trial1,brow,diff_bin7,0.029877708811530568,happy
pp401,adult,131,trial1,brow,diff_bin8,-0.07143005259639275,happy
pp401,adult,131,trial1,brow,diff_bin9,-0.3676127773842927,happy
pp401,adult,131,trial1,cheek,diff_bin1,0.06577509245338603,happy
pp401,adult,131,trial1,cheek,diff_bin10,NA,happy
pp401,adult,131,trial1,cheek,diff_bin2,-0.008404520678270466,happy
pp401,adult,131,trial1,cheek,diff_bin3,-0.06613700961178043,happy
pp401,adult,131,trial1,cheek,diff_bin4,-0.009570698188652416,happy
pp401,adult,131,trial1,cheek,diff_bin5,-0.04834945149365466,happy
pp401,adult,131,trial1,cheek,diff_bin6,-0.05991739622307635,happy
pp401,adult,131,trial1,cheek,diff_bin7,-0.0642335934454098,happy
pp401,adult,131,trial1,cheek,diff_bin8,-0.00691663902709333,happy
pp401,adult,131,trial1,cheek,diff_bin9,0.002560228787160501,happy
pp401,adult,131,trial2,brow,diff_bin1,0.16552888639783264,happy
pp401,adult,131,trial2,brow,diff_bin10,-0.65226972411109,happy
pp401,adult,131,trial2,brow,diff_bin2,0.0361722296714688,happy
pp401,adult,131,trial2,brow,diff_bin3,0.49252499201698424,happy
pp401,adult,131,trial2,brow,diff_bin4,0.40163721446503947,happy
pp401,adult,131,trial2,brow,diff_bin5,0.42977117087618166,happy
pp401,adult,131,trial2,brow,diff_bin6,0.09407756852826449,happy
pp401,adult,131,trial2,brow,diff_bin7,-0.2291758490120046,happy
pp401,adult,131,trial2,brow,diff_bin8,0.3896861309404271,happy
pp401,adult,131,trial2,brow,diff_bin9,-0.13144065349755968,happy
pp401,adult,131,trial2,cheek,diff_bin1,-0.06633807469977726,happy
pp401,adult,131,trial2,cheek,diff_bin10,-0.033001483109891205,happy
pp401,adult,131,trial2,cheek,diff_bin2,-0.06566785773978762,happy
pp401,adult,131,trial2,cheek,diff_bin3,-0.08220881231233268,happy
pp401,adult,131,trial2,cheek,diff_bin4,-0.04936818127283893,happy
pp401,adult,131,trial2,cheek,diff_bin5,NA,happy
pp401,adult,131,trial2,cheek,diff_bin6,0.031580623154713106,happy
pp401,adult,131,trial2,cheek,diff_bin7,-0.07661920286601881,happy
pp401,adult,131,trial2,cheek,diff_bin8,-0.10384341578079914,happy
pp401,adult,131,trial2,cheek,diff_bin9,-0.10063977871204849,happy
pp401,adult,131,trial3,brow,diff_bin1,-0.05607652536370572,happy
pp401,adult,131,trial3,brow,diff_bin10,0.4999678376283974,happy
pp401,adult,131,trial3,brow,diff_bin2,0.13830933673323542,happy
pp401,adult,131,trial3,brow,diff_bin3,1.0154167941285346,happy
pp401,adult,131,trial3,brow,diff_bin4,0.3148748999091353,happy
pp401,adult,131,trial3,brow,diff_bin5,0.5588513790512646,happy
pp401,adult,131,trial3,brow,diff_bin6,0.5763526988746737,happy
pp401,adult,131,trial3,brow,diff_bin7,0.3943006952195034,happy
pp401,adult,131,trial3,brow,diff_bin8,0.04586919423948166,happy
pp401,adult,131,trial3,brow,diff_bin9,-0.08359378885275953,happy
pp401,adult,131,trial3,cheek,diff_bin1,NA,happy
pp401,adult,131,trial3,cheek,diff_bin10,NA,happy
pp401,adult,131,trial3,cheek,diff_bin2,NA,happy
pp401,adult,131,trial3,cheek,diff_bin3,NA,happy
pp401,adult,131,trial3,cheek,diff_bin4,NA,happy
pp401,adult,131,trial3,cheek,diff_bin5,NA,happy
pp401,adult,131,trial3,cheek,diff_bin6,NA,happy
pp401,adult,131,trial3,cheek,diff_bin7,NA,happy
pp401,adult,131,trial3,cheek,diff_bin8,NA,happy
pp401,adult,131,trial3,cheek,diff_bin9,NA,happy
pp401,adult,131,trial4,brow,diff_bin1,0.523657351945867,happy
pp401,adult,131,trial4,brow,diff_bin10,-0.2791917715207024,happy
pp401,adult,131,trial4,brow,diff_bin2,0.02273257702457379,happy
pp401,adult,131,trial4,brow,diff_bin3,0.2486335739675566,happy
pp401,adult,131,trial4,brow,diff_bin4,0.26251979735113606,happy
pp401,adult,131,trial4,brow,diff_bin5,-0.39142988334081563,happy
pp401,adult,131,trial4,brow,diff_bin6,-0.1787558863129731,happy
pp401,adult,131,trial4,brow,diff_bin7,-0.34604979038436967,happy
pp401,adult,131,trial4,brow,diff_bin8,-0.5180220545543689,happy
pp401,adult,131,trial4,brow,diff_bin9,0.18290261458218887,happy
pp401,adult,131,trial4,cheek,diff_bin1,-0.029663802649142756,happy
pp401,adult,131,trial4,cheek,diff_bin10,0.3477353675210392,happy
pp401,adult,131,trial4,cheek,diff_bin2,0.07135129756050007,happy
pp401,adult,131,trial4,cheek,diff_bin3,0.07868347110278695,happy
pp401,adult,131,trial4,cheek,diff_bin4,0.045011771032906045,happy
pp401,adult,131,trial4,cheek,diff_bin5,-0.04934137259443938,happy
pp401,adult,131,trial4,cheek,diff_bin6,-0.006018548300707249,happy
pp401,adult,131,trial4,cheek,diff_bin7,-0.017680323404527465,happy
