pp_no,emotion,trial,muscle,bin,zdiff
pp401,121,trial1,brow,diff_bin1,-0.6683250053585675
pp401,121,trial1,brow,diff_bin2,0.31704395777303296
pp401,121,trial1,brow,diff_bin3,0.522147517550409
pp401,121,trial1,brow,diff_bin4,0.5463473984240904
pp401,121,trial1,brow,diff_bin5,3.6443787209919556
pp401,121,trial1,brow,diff_bin6,12.97966352283643
pp401,121,trial1,cheek,diff_bin1,-1.5773288066572833
pp401,121,trial1,cheek,diff_bin2,-0.8682794760058143
pp401,121,trial1,cheek,diff_bin3,-0.5640814022057039
pp401,121,trial1,cheek,diff_bin4,-0.7841940562055105
pp401,121,trial1,cheek,diff_bin5,-0.22233777430697232
pp401,121,trial1,cheek,diff_bin6,10.663647793986007
pp401,121,trial2,brow,diff_bin1,0.21484305489173977
pp401,121,trial2,brow,diff_bin2,0.025199348712927838
pp401,121,trial2,brow,diff_bin3,-0.21603391018956622
pp401,121,trial2,brow,diff_bin4,0.39763934310805155
pp401,121,trial2,brow,diff_bin5,0.5471554788047581
pp401,121,trial2,brow,diff_bin6,0.0547793437000022
pp401,121,trial2,cheek,diff_bin1,0.4358688977596805
pp401,121,trial2,cheek,diff_bin2,-0.3485798408906262
pp401,121,trial2,cheek,diff_bin3,-0.4891779547572587
pp401,121,trial2,cheek,diff_bin4,-0.09085461109619941
pp401,121,trial2,cheek,diff_bin5,-0.11917797982536273
pp401,121,trial2,cheek,diff_bin6,-0.2056761806816292
pp401,121,trial3,brow,diff_bin1,-1.5495366604767318
pp401,121,trial3,brow,diff_bin2,-1.796469012590251
pp401,121,trial3,brow,diff_bin3,-1.2771710416453543
pp401,121,trial3,brow,diff_bin4,-0.23276968017865873
pp401,121,trial3,brow,diff_bin5,-1.0880802325691046
pp401,121,trial3,brow,diff_bin6,-0.8807012885619532
pp401,121,trial3,cheek,diff_bin1,0.14955221245209455
pp401,121,trial3,cheek,diff_bin2,-0.5652341753768861
pp401,121,trial3,cheek,diff_bin3,-0.14892220850970428
pp401,121,trial3,cheek,diff_bin4,0.36319057061840093
pp401,121,trial3,cheek,diff_bin5,-0.02524037071321089
pp401,121,trial3,cheek,diff_bin6,-0.5134666173872843
pp401,121,trial4,brow,diff_bin1,-0.17894727377155223
pp401,121,trial4,brow,diff_bin2,-0.8092074401460341
pp401,121,trial4,brow,diff_bin3,0.6290693110766558
